timestamp,x,y,z,vx
0.00000000,-20.00000000,-50.00200000,0.00007000,0.00000000
0.00000000,-20.00000000,-50.00200000,46.66800000,0.00000000
0.00000000,-20.00000000,-50.00200000,93.33700000,0.00000000
0.00000000,-20.00000000,-50.00200000,140.00000000,0.00000000
0.00000000,-20.00000000,43.33200000,0.00007000,9.97160000
0.00000000,-20.00000000,43.33200000,46.66800000,9.99100000
0.00000000,-20.00000000,43.33200000,93.33700000,9.99640000
0.00000000,-20.00000000,43.33200000,140.00000000,0.00000000
0.00000000,-20.00000000,136.67000000,0.00007000,9.82760000
0.00000000,-20.00000000,136.67000000,46.66800000,10.03500000
0.00000000,-20.00000000,136.67000000,93.33700000,10.00200000
0.00000000,-20.00000000,136.67000000,140.00000000,0.00000000
0.00000000,-20.00000000,230.00000000,0.00007000,0.00000000
0.00000000,-20.00000000,230.00000000,46.66800000,0.00000000
0.00000000,-20.00000000,230.00000000,93.33700000,0.00000000
0.00000000,-20.00000000,230.00000000,140.00000000,0.00000000
0.00000000,96.66700000,-50.00200000,0.00007000,0.00000000
0.00000000,96.66700000,-50.00200000,46.66800000,0.00000000
0.00000000,96.66700000,-50.00200000,93.33700000,0.00000000
0.00000000,96.66700000,-50.00200000,140.00000000,0.00000000
0.00000000,96.66700000,43.33200000,0.00007000,-2.72420000
0.00000000,96.66700000,43.33200000,46.66800000,-1.59980000
0.00000000,96.66700000,43.33200000,93.33700000,13.29800000
0.00000000,96.66700000,43.33200000,140.00000000,0.00000000
0.00000000,96.66700000,136.67000000,0.00007000,-0.59805000
0.00000000,96.66700000,136.67000000,46.66800000,13.48000000
0.00000000,96.66700000,136.67000000,93.33700000,12.14900000
0.00000000,96.66700000,136.67000000,140.00000000,0.00000000
0.00000000,96.66700000,230.00000000,0.00007000,0.00000000
0.00000000,96.66700000,230.00000000,46.66800000,0.00000000
0.00000000,96.66700000,230.00000000,93.33700000,0.00000000
0.00000000,96.66700000,230.00000000,140.00000000,0.00000000
0.00000000,213.33000000,-50.00200000,0.00007000,0.00000000
0.00000000,213.33000000,-50.00200000,46.66800000,0.00000000
0.00000000,213.33000000,-50.00200000,93.33700000,0.00000000
0.00000000,213.33000000,-50.00200000,140.00000000,0.00000000
0.00000000,213.33000000,43.33200000,0.00007000,-1.31850000
0.00000000,213.33000000,43.33200000,46.66800000,3.51660000
0.00000000,213.33000000,43.33200000,93.33700000,13.49400000
0.00000000,213.33000000,43.33200000,140.00000000,0.00000000
0.00000000,213.33000000,136.67000000,0.00007000,-1.35140000
0.00000000,213.33000000,136.67000000,46.66800000,9.00280000
0.00000000,213.33000000,136.67000000,93.33700000,12.68200000
0.00000000,213.33000000,136.67000000,140.00000000,0.00000000
0.00000000,213.33000000,230.00000000,0.00007000,0.00000000
0.00000000,213.33000000,230.00000000,46.66800000,0.00000000
0.00000000,213.33000000,230.00000000,93.33700000,0.00000000
0.00000000,213.33000000,230.00000000,140.00000000,0.00000000
0.00000000,330.00000000,-50.00200000,0.00007000,0.00000000
0.00000000,330.00000000,-50.00200000,46.66800000,0.00000000
0.00000000,330.00000000,-50.00200000,93.33700000,0.00000000
0.00000000,330.00000000,-50.00200000,140.00000000,0.00000000
0.00000000,330.00000000,43.33200000,0.00007000,2.86660000
0.00000000,330.00000000,43.33200000,46.66800000,7.47260000
0.00000000,330.00000000,43.33200000,93.33700000,12.55900000
0.00000000,330.00000000,43.33200000,140.00000000,0.00000000
0.00000000,330.00000000,136.67000000,0.00007000,3.70580000
0.00000000,330.00000000,136.67000000,46.66800000,2.16780000
0.00000000,330.00000000,136.67000000,93.33700000,13.02700000
0.00000000,330.00000000,136.67000000,140.00000000,0.00000000
0.00000000,330.00000000,230.00000000,0.00007000,0.00000000
0.00000000,330.00000000,230.00000000,46.66800000,0.00000000
0.00000000,330.00000000,230.00000000,93.33700000,0.00000000
0.00000000,330.00000000,230.00000000,140.00000000,0.00000000
